
## FlyBase Gene Mapping Table
## Generated: Sat Apr  6 20:50:14 2024
## Using datasource: dbi:Pg:dbname=fb_2024_02_reporting;host=flysql25;port=5432...

##organism_abbreviation	current_symbol	primary_FBid	recombination_loc	cytogenetic_loc	sequence_loc
Dmel	Spn38F	FBgn0028986	2-54	38F1-38F2	2L:20836621..20837985(-1)
Dmel	Spn28F	FBgn0028987	2-30	28F5-28F5	2L:8240414..8241800(-1)
Dmel	Spn42Dd	FBgn0028988	2-55	42D6-42D6	2R:6883280..6884873(1)
Dmel	shrv	FBgn0028989		37F-51F	
Dmel	Spn27A	FBgn0028990	2-21	26F5-26F6	2L:6671065..6673347(-1)
Dmel	seq	FBgn0028991	2-68	49F4-49F7	2R:13176553..13190086(-1)
Dmel	sds22	FBgn0028992	3-60	90A5-90A5	3R:17391594..17393020(1)
Dmel	saguaro	FBgn0028994			
Dmel	ponderosa	FBgn0028995			
Dmel	onecut	FBgn0028996	4-0	102C2-102C2	4:598555..607649(-1)
Dmel	nmdyn-D7	FBgn0028997	3-49	85E4-85E4	3R:9679939..9681502(1)
Dmel	nerfin-1	FBgn0028999	3-0.5	61D4-61D4	3L:909112..912319(1)
Dmel	ms(3)mntr	FBgn0029000		100A2-100B9	
Dmel	ms(3)08724	FBgn0029001		89B1-89B3	
Dmel	miple2	FBgn0029002	3-1	61B3-61B3	3L:271200..275018(1)
Dmel	mab-21	FBgn0029003	1-15	5D2-5D2	X:6008183..6013181(-1)
Dmel	limber	FBgn0029005		50A-51B	
Dmel	Smurf	FBgn0029006	2-83	54C12-54D1	2R:17592791..17604461(1)
Dmel	l(3)77CDm	FBgn0029012		77B7-77D1	
Dmel	l(3)77CDl	FBgn0029013		77B7-77D1	
Dmel	l(3)77CDk	FBgn0029014		77B7-77D1	
Dmel	l(3)77CDj	FBgn0029015		77B7-77D1	
Dmel	l(3)77CDi	FBgn0029016		77B7-77D1	
Dmel	l(3)77CDh	FBgn0029017		77B7-77D1	
Dmel	l(3)77CDg	FBgn0029018		77B7-77D1	
Dmel	l(3)77CDe	FBgn0029019		77B7-77D1	
Dmel	l(3)77CDd	FBgn0029020		77B7-77D1	
Dmel	l(3)77CDa	FBgn0029021		77B7-77D1	
Dmel	l(3)77ABj	FBgn0029022		77A1-77B9	
Dmel	l(3)77ABh	FBgn0029024		77A1-77B9	
Dmel	l(3)77ABg	FBgn0029025		77A1-77B9	
Dmel	l(3)77ABf	FBgn0029026		77A1-77B9	
Dmel	l(3)77ABd	FBgn0029027		77A1-77B9	
Dmel	l(2)R99	FBgn0029030	2-		
Dmel	l(2)R89	FBgn0029031	2-		
Dmel	l(2)R209	FBgn0029032	2-		
Dmel	l(2)Q73	FBgn0029033	2-		
Dmel	l(2)Q39	FBgn0029034	2-		
Dmel	l(2)Q1	FBgn0029035	2-		
Dmel	l(2)N36	FBgn0029036	2-		
Dmel	l(2)J27	FBgn0029037	2-		
Dmel	l(2)I16	FBgn0029038	2-		
Dmel	l(2)G56	FBgn0029039	2-		
Dmel	l(2)F32	FBgn0029040	2-		
Dmel	l(2)F2	FBgn0029041	2-		
Dmel	l(2)E22	FBgn0029042	2-		
Dmel	l(1)G0473	FBgn0029048		14B-14B	
Dmel	l(1)G0462	FBgn0029050	1-		
Dmel	l(1)G0458	FBgn0029051		2E-2E	
Dmel	l(1)G0455	FBgn0029053		14E-14E	
Dmel	l(1)G0453	FBgn0029054		8D-8D	
Dmel	l(1)G0452	FBgn0029055		1D-1D	
Dmel	l(1)G0449	FBgn0029056		4D4-4D6	
Dmel	l(1)G0435	FBgn0029058		12C-12C	
Dmel	l(1)G0399	FBgn0029060		1B3-1B4	
Dmel	l(1)G0372	FBgn0029061		7E1-7E6	
Dmel	l(1)G0280	FBgn0029066	1-		
Dmel	Dd	FBgn0029067	1-65	19F4-19F4	X:21319791..21324009(-1)
Dmel	l(1)G0236	FBgn0029068		8F1-8F7	
Dmel	l(1)G0145	FBgn0029074	1-		
Dmel	l(1)G0141	FBgn0029075		11A7-11A8	
Dmel	icln	FBgn0029079	2-83	54C12-54C12	2R:17590964..17591881(1)
Dmel	iab-8PRE	FBgn0029080			
Dmel	iab-7PRE	FBgn0029081			
Dmel	gom	FBgn0029084	2-98	58C1-58C1	2R:22139935..22141364(1)
Dmel	flc	FBgn0029085		77B7-77D1	
Dmel	enPRE	FBgn0029087			
Dmel	disp	FBgn0029088	3-47.5	83C5-83C5	3R:5849697..5856311(-1)
Dmel	cypress	FBgn0029089			
Dmel	Chs2	FBgn0029091	3-47	79A5-79A5	3L:21962401..21969964(1)
Dmel	ced-6	FBgn0029092	2-60	45D7-45D8	2R:9434669..9444937(-1)
Dmel	cathD	FBgn0029093	2-57	43E18-43E18	2R:7815339..7823569(-1)
Dmel	asf1	FBgn0029094	3-45	76B9-76B9	3L:19618894..19620398(1)
Dmel	aru	FBgn0029095	2-1.5	21E2-21E2	2L:861849..868354(-1)
Dmel	anon-89Ec	FBgn0029097			
Dmel	anon-89Be	FBgn0029098			
Dmel	anon-89Bc	FBgn0029100		89B6-89B7	
Dmel	anon-85Cc	FBgn0029101			
Dmel	anon-56Da	FBgn0029102			
Dmel	anon-47Ba	FBgn0029103			
Dmel	anon-21Ab	FBgn0029104			
Dmel	alpha-Catr	FBgn0029105	2-105	60A14-60A14	2R:23957842..23961631(1)
Dmel	Uba2	FBgn0029113	3-22	66B7-66B7	3L:8125327..8127818(-1)
Dmel	Tollo	FBgn0029114	3-43	71C1-71C1	3L:15235619..15242832(1)
Dmel	Surf1	FBgn0029117	3-18	65D4-65D4	3L:6958346..6959586(1)
Dmel	ScsbetaG	FBgn0029118	3-14	64D3-64D3	3L:5561701..5563691(-1)
Dmel	Su(Sxl[fs])X2	FBgn0029119	1-		
Dmel	Su(Sxl[fs])46	FBgn0029120	3-85		
Dmel	Sras	FBgn0029121	3-14	64D3-64D3	3L:5563774..5565103(1)
Dmel	SoxN	FBgn0029123	2-34	29F2-29F2	2L:8825645..8829670(1)
Dmel	Debcl	FBgn0029131	2-55	42C2-42C2	2R:6648654..6652842(1)
Dmel	REG	FBgn0029133	1-42	11E3-11E3	X:13212325..13214408(1)
Dmel	Prosbeta5	FBgn0029134	2-63	47C1-47C1	2R:10819978..10821178(1)
Dmel	Patsas	FBgn0029137	2-46	33C4-33C4	2L:12100765..12103285(-1)
Dmel	P(3)98DF	FBgn0029139			
Dmel	P(3)97C	FBgn0029140			
Dmel	P(3)93B	FBgn0029141			
Dmel	P(3)91F	FBgn0029142			
Dmel	P(3)91A	FBgn0029143			
Dmel	P(3)79D	FBgn0029144			
Dmel	P(3)78A	FBgn0029145			
Dmel	NtR	FBgn0029147	2-98	58B10-58C1	2R:22127808..22130184(1)
Dmel	NHP2	FBgn0029148	3-42	70F6-70F6	3L:14801328..14802168(-1)
Dmel	Mkrn1	FBgn0029152	3-47	78D5-78D5	3L:21529959..21533713(-1)
Dmel	Menl-2	FBgn0029153	2-80	53C4-53C4	2R:16414815..16419398(-1)
Dmel	Menl-1	FBgn0029154	2-80	53C4-53C4	2R:16414815..16419398(-1)
Dmel	Men-b	FBgn0029155	3-92	97E5-97E5	3R:27151662..27157603(1)
Dmel	ssh	FBgn0029157	3-86	96B10-96B11	3R:24938710..24944956(-1)
Dmel	Las	FBgn0029158	3-47	77C2-77C3	3L:20430605..20432361(-1)
Dmel	slmo	FBgn0029161	2-18	26B3-26B3	2L:6046516..6048706(-1)
Dmel	Hml	FBgn0029167	3-41	70C4-70C4	3L:13846054..13860001(1)
Dmel	TwdlT	FBgn0029170	3-92	97D14-97D14	3R:27049220..27051004(1)
Dmel	Fad2	FBgn0029172	3-34	68A1-68A1	3L:11023535..11024846(1)
Dmel	Fkbp59	FBgn0029174	2-37	30E1-30E1	2L:9888005..9890119(1)
Dmel	sotv	FBgn0029175	2-77	52E11-52E11	2R:16145904..16148719(-1)
Dmel	eEF1gamma	FBgn0029176	3-98	99A1-99A1	3R:29220172..29222109(1)
Dmel	E(Khc)ek9	FBgn0029178			
Dmel	E(Khc)ek8	FBgn0029179			
Dmel	E(Khc)ek7	FBgn0029180			
Dmel	E(Khc)ek6	FBgn0029181			
Dmel	E(Khc)ek5	FBgn0029182			
Dmel	E(Khc)ek3	FBgn0029183			
Dmel	E(Khc)ek2	FBgn0029184			
Dmel	E(Khc)ek10	FBgn0029185			
Dtei	Dtei\gypsy\pol	FBgn0029222			
Dore	Dore\gypsy\pol	FBgn0029308			
Dere	Dere\gypsy\pol	FBgn0029418			
Dmel	Crtp	FBgn0029501	2-107	60D1-60D1	2R:24494518..24497024(1)
Dmel	Coq7	FBgn0029502	1-18	6C13-6C13	X:6771225..6773039(1)
Dmel	mora	FBgn0029503	3-83	95E8-95E8	3R:24186359..24187785(1)
Dmel	CHES-1-like	FBgn0029504	1-20	7B6-7B6	X:7682338..7709385(-1)
Dmel	Tsp42Ee	FBgn0029506	2-55	42E5-42E5	2R:7012254..7018362(1)
Dmel	Tsp42Ed	FBgn0029507	2-55	42E5-42E5	2R:7009498..7011739(-1)
Dmel	Tsp42Ea	FBgn0029508	2-55	42E4-42E4	2R:6992676..7004259(1)
Dmel	Aos1	FBgn0029512	3-52	87B10-87B10	3R:12432533..12433822(-1)
Dmel	Abd-B-PTS	FBgn0029513			
Dmel	CG9166	FBgn0029514	3-0	61F7-61F7	3L:1351116..1352853(1)
Dmel	CG13376	FBgn0029518	1-0	1A1-1A1	X:265724..267028(-1)
Dmel	Or1a	FBgn0029521	1-0	1A2-1A2	X:315123..316566(1)
Dmel	CG13373	FBgn0029522	1-0	1B4-1B4	X:476984..478191(1)
Dmel	CR18275	FBgn0029523	1-0	1B4-1B4	X:476857..479309(-1)
Dmel	CG3176	FBgn0029524	1-0	1B4-1B4	X:481862..482768(1)
Dmel	CG18273	FBgn0029525	1-0	1B4-1B5	X:482777..487581(-1)
Dmel	CR18166	FBgn0029526	1-0	1B4-1B4	X:479864..481826(-1)
Dmel	CG13365	FBgn0029529	1-0	1B12-1B12	X:620717..621215(-1)
Dmel	CG13362	FBgn0029531	1-0	1C3-1C3	X:749241..751301(-1)
Dmel	CG13361	FBgn0029532	1-0	1C3-1C3	X:752011..753653(-1)
Dmel	CG14635	FBgn0029535	1-0	1D1-1D1	X:844823..845297(1)
Dmel	CG11663	FBgn0029539	1-0	1D2-1D2	X:894482..895200(1)
Dmel	CG14631	FBgn0029552	1-0.1	1E1-1E1	X:1012035..1012624(1)
Dmel	CG11381	FBgn0029568	1-0.1	1E4-1E4	X:1203777..1205433(1)
Dmel	CG14770	FBgn0029573	1-0.2	2A1-2A1	X:1369249..1370176(1)
Dmel	CG14778	FBgn0029580	1-0.2	2A4-2A4	X:1467493..1470614(1)
Dmel	CG3080	FBgn0029581			
Dmel	CG3729	FBgn0029582			
Dmel	CG14797	FBgn0029587	1-0.2	2B7-2B7	X:1681566..1684891(1)
Dmel	CR14798	FBgn0029588	1-0.2	2B7-2B7	X:1692824..1693843(1)
Dmel	CG14810	FBgn0029589	1-0.2	2B10-2B10	X:1819495..1820341(-1)
Dmel	CG14811	FBgn0029590	1-0.2	2B10-2B10	X:1821469..1822381(-1)
Dmel	Coa8	FBgn0029594	1-0.2	2B14-2B14	X:1880282..1881432(1)
Dmel	CG14054	FBgn0029596	1-0.5	2C8-2C9	X:2065273..2066359(-1)
Dmel	CG14053	FBgn0029603	1-0.8	2E1-2E1	X:2191639..2193909(-1)
Dmel	CG18082	FBgn0029605			
Dmel	CG14052	FBgn0029606	1-0.9	2F1-2F1	X:2223754..2224969(1)
Dmel	CG3091	FBgn0029608	1-0.9	2F2-2F2	X:2252332..2254197(-1)
Dmel	eIF3g1	FBgn0029629	1-1	3A7-3A7	X:2609247..2610336(-1)
Dmel	CG14419	FBgn0029639	1-2	3C2-3C2	X:2885186..2885914(-1)
Dmel	CG3592	FBgn0029642	1-2	3C3-3C3	X:2935127..2935966(1)
Dmel	CG14420	FBgn0029643	1-2	3C3-3C3	X:2938856..2940527(1)
Dmel	CG14421	FBgn0029644	1-2	3C3-3C3	X:2941408..2942329(1)
Dmel	CG14422	FBgn0029645	1-2	3C3-3C3	X:2943386..2944569(1)
Dmel	CG14423	FBgn0029646	1-2	3C3-3C3	X:2945403..2946589(1)
Dmel	CG17959	FBgn0029647	1-2	3C3-3C3	X:2947094..2947580(1)
Dmel	CG3603	FBgn0029648	1-2	3C3-3C3	X:2948034..2949120(1)
Dmel	CG4116	FBgn0029649	1-2	3C6-3C6	X:3066615..3067562(-1)
Dmel	CG10782	FBgn0029651			
Dmel	CG12535	FBgn0029657	1-3	3D2-3D2	X:3387944..3448943(-1)
Dmel	CG14269	FBgn0029658	1-3	3D3-3D3	X:3434943..3435807(-1)
Dmel	CG16782	FBgn0029659	1-3	3D4-3D4	X:3459016..3460240(-1)
Dmel	CG10801	FBgn0029660	1-3	3D4-3D4	X:3460592..3462500(1)
Dmel	CG16781	FBgn0029661	1-3	3D4-3D4	X:3462474..3464044(-1)
Dmel	CG12206	FBgn0029662	1-3	3D4-3D4	X:3465737..3474524(-1)
Dmel	CG10804	FBgn0029663	1-3	3D4-3D4	X:3476463..3482322(-1)
Dmel	CG10802	FBgn0029664	1-3	3D4-3D4	X:3482965..3484555(1)
Dmel	CG14270	FBgn0029665	1-3	3D4-3D4	X:3484605..3485378(-1)
Dmel	CG10803	FBgn0029666	1-3	3D4-3D4	X:3485650..3490915(1)
Dmel	Gas8	FBgn0029667	1-3	3D4-3D4	X:3491011..3504851(-1)
Dmel	CG13021	FBgn0029669	1-3	3D5-3D5	X:3514316..3515757(1)
Dmel	CG2875	FBgn0029672	1-3	3D6-3D6	X:3571456..3573622(-1)
Dmel	HIP-R	FBgn0029676	1-5	3F1-3F1	X:3789969..3792477(1)
Dmel	CG2901	FBgn0029679	1-5	3F2-3F2	X:3828197..3831546(1)
Dmel	CG15239	FBgn0029681	1-5	3F4-3F4	X:3884168..3890486(1)
Dmel	CG2938	FBgn0029685	1-5	3F7-3F7	X:3932000..3936469(-1)
Dmel	Glos	FBgn0029686	1-5	3F7-3F7	X:3936517..3940582(1)
Dmel	Vap33	FBgn0029687	1-5	3F9-3F9	X:3948975..3955442(1)
Dmel	lva	FBgn0029688	1-6	4A1-4A1	X:3955543..3965327(-1)
Dmel	CG6428	FBgn0029689	1-6	4A1-4A1	X:3965435..3968655(-1)
Dmel	CG6414	FBgn0029690	1-6	4A1-4A1	X:3968788..3971350(-1)
Dmel	Cmtr1	FBgn0029693	1-6	4A5-4A5	X:4097592..4101031(-1)
Dmel	CG15375	FBgn0029694	1-6	4A5-4A5	X:4101318..4102995(1)
Dmel	CG15571	FBgn0029696	1-7	4B3-4B3	X:4216873..4217394(-1)
Dmel	CG15570	FBgn0029697	1-7	4B3-4B3	X:4218170..4223331(1)
Dmel	CG15576	FBgn0029700	1-7	4B4-4B4	X:4251870..4252790(-1)
Dmel	CG12691	FBgn0029701	1-7	4B4-4B4	X:4266097..4266669(1)
Dmel	CG15572	FBgn0029702	1-7	4B4-4B4	X:4268701..4271083(1)
Dmel	CG12692	FBgn0029703	1-7	4B5-4B6	X:4300117..4302346(-1)
Dmel	CG12693	FBgn0029705	1-7	4B6-4B6	X:4327080..4329457(-1)
Dmel	Pdpr	FBgn0029706	1-8	4C2-4C2	X:4366417..4371136(1)
Dmel	CG3556	FBgn0029708	1-8	4C7-4C7	X:4530231..4535464(1)
Dmel	CHOp24	FBgn0029709	1-8	4C7-4C7	X:4540908..4542506(1)
Dmel	CG3568	FBgn0029710	1-8	4C7-4C7	X:4542630..4544497(1)
Dmel	Usf	FBgn0029711	1-8	4C7-4C7	X:4544617..4548794(-1)
Dmel	CG15912	FBgn0029712	1-8	4C7-4C7	X:4549070..4549957(1)
Dmel	CG11436	FBgn0029713	1-8	4C7-4C7	X:4549883..4551878(-1)
Dmel	CG3527	FBgn0029714	1-8	4C7-4C7	X:4551973..4553006(1)
Dmel	CG11444	FBgn0029715	1-8	4C7-4C7	X:4553117..4554398(-1)
Dmel	CG3546	FBgn0029716	1-8	4C7-4C7	X:4558072..4560317(1)
Dmel	CG12684	FBgn0029717	1-8	4C8-4C8	X:4570991..4571929(-1)
Dmel	mRpL30	FBgn0029718	1-8	4C11-4C11	X:4647871..4648646(1)
Dmel	CG15473	FBgn0029719	1-8	4C11-4C11	X:4651955..4654497(-1)
Dmel	CG3009	FBgn0029720	1-8	4C11-4C11	X:4658158..4666700(-1)
Dmel	CG7024	FBgn0029722	1-8	4C14-4C14	X:4705309..4707504(1)
Dmel	Proc-R	FBgn0029723	1-8	4C14-4C15	X:4707916..4729487(1)
Dmel	CG15472	FBgn0029724	1-9	4D1-4D1	X:4768727..4770137(-1)
Dmel	CG2871	FBgn0029725	1-9	4D1-4D1	X:4775984..4777375(-1)
Dmel	CG15471	FBgn0029726	1-9	4D1-4D1	X:4782201..4782789(-1)
Dmel	CG6978	FBgn0029727	1-9	4D1-4D1	X:4784075..4786059(1)
Dmel	CG2861	FBgn0029728	1-9	4D1-4D2	X:4797231..4804862(-1)
Dmel	CG12682	FBgn0029729	1-9	4D2-4D2	X:4825974..4826833(1)
Dmel	boil	FBgn0029730	1-9	4D3-4D3	X:4875670..4877263(1)
Dmel	CG6927	FBgn0029733	1-9	4D5-4D5	X:4906900..4908821(1)
Dmel	CG4041	FBgn0029736	1-9	4D5-4D6	X:4915280..4918447(-1)
Dmel	Hgsnat	FBgn0029737	1-9	4D6-4D6	X:4918730..4921648(1)
Dmel	CG12680	FBgn0029740	1-10	4E1-4E1	X:4997441..4998388(1)
Dmel	Rpn13R	FBgn0029745	1-11	4F1-4F1	X:5131898..5132985(1)
Dmel	CG15465	FBgn0029746	1-11	4F2-4F2	X:5085759..5254864(1)
Dmel	CG5062	FBgn0029747	1-11	4F2-4F2	X:5180182..5182369(-1)
Dmel	CG3323	FBgn0029750	1-11	4F4-4F4	X:5302988..5305691(-1)
Dmel	CG17764	FBgn0029751	1-11	4F4-4F4	X:5306261..5307417(-1)
Dmel	TrxT	FBgn0029752	1-11	4F4-4F4	X:5310581..5311888(-1)
Dmel	CG4198	FBgn0029753	1-11	4F4-4F5	X:5313258..5315190(1)
Dmel	CG15930	FBgn0029754	1-11	4F5-4F5	X:5315130..5317295(-1)
Dmel	Sas10	FBgn0029755	1-11	4F5-4F5	X:5317409..5319071(1)
Dmel	CG3309	FBgn0029756	1-11	4F5-4F5	X:5326675..5329347(-1)
Dmel	CG12732	FBgn0029759		4F7-4F7	
Dmel	SK	FBgn0029761	1-11	4F5-4F9	X:5340236..5405138(1)
Dmel	NAAT1	FBgn0029762	1-11	4F9-4F9	X:5405238..5410849(-1)
Dmel	Usp16-45	FBgn0029763	1-11	4F10-4F10	X:5421533..5427219(1)
Dmel	CG16756	FBgn0029765	1-11	4F10-4F10	X:5427517..5428217(1)
Dmel	CG15784	FBgn0029766	1-11	4F10-4F10	X:5429571..5432526(1)
Dmel	SPR	FBgn0029768	1-11	4F11-5A1	X:5446656..5494012(1)
Dmel	frma	FBgn0029769	1-12	5A1-5A1	X:5493014..5496052(-1)
Dmel	CG4151	FBgn0029770	1-12	5A2-5A2	X:5501476..5502782(1)
Dmel	CG12730	FBgn0029771	1-12	5A2-5A2	X:5516608..5518771(1)
Dmel	RhoGAP5A	FBgn0029778	1-12	5A8-5A8	X:5616572..5618806(-1)
Dmel	Sirt4	FBgn0029783	1-12	5A10-5A10	X:5664628..5665940(-1)
Dmel	RpL35	FBgn0029785	1-12	5A11-5A11	X:5672401..5673547(1)
Dmel	PGAP1	FBgn0029789	1-12	5A12-5A13	X:5685253..5689473(-1)
Dmel	AdamTS-B	FBgn0029791	1-13	5B1-5B1	X:5698557..5708633(1)
Dmel	CG15773	FBgn0029795	1-13	5B3-5B3	X:5732740..5734614(1)
Dmel	Rtel1	FBgn0029798	1-13	5B6-5B6	X:5747747..5752077(1)
Dmel	CG15772	FBgn0029799	1-13	5B6-5B6	X:5752249..5754041(1)
Dmel	lin-52	FBgn0029800	1-13	5B7-5B7	X:5753390..5754958(-1)
Dmel	CG15771	FBgn0029801	1-13	5B8-5B8	X:5755574..5759751(1)
Dmel	CG3097	FBgn0029804	1-14	5B8-5C2	X:5765855..5770780(-1)
Dmel	CG3108	FBgn0029807	1-14	5C2-5C2	X:5777195..5781620(-1)
Dmel	CG15767	FBgn0029809	1-14	5C2-5C2	X:5789487..5790919(1)
Dmel	CG12239	FBgn0029810	1-14	5C2-5C2	X:5792140..5794543(1)
Dmel	Cpr5C	FBgn0029811	1-14	5C2-5C2	X:5804677..5805344(1)
Dmel	Prosbeta2R1	FBgn0029812	1-14	5C2-5C2	X:5808954..5810158(1)
Dmel	AgmNAT	FBgn0029813	1-14	5C2-5C2	X:5814864..5815820(-1)
Dmel	CG15765	FBgn0029814	1-14	5C2-5C3	X:5818559..5840823(1)
Dmel	CG11462	FBgn0029815		5C3-5C3	
Dmel	CG12729	FBgn0029816	1-14	5C3-5C3	X:5845280..5846106(1)
Dmel	CG15764	FBgn0029817	1-14	5C5-5C5	X:5869095..5870266(1)
Dmel	GAA1	FBgn0029818	1-14	5C5-5C5	X:5870841..5873357(-1)
Dmel	Usp30	FBgn0029819	1-14	5C5-5C6	X:5877000..5879787(-1)
Dmel	CG16721	FBgn0029820	1-14	5C6-5C6	X:5879869..5883391(1)
Dmel	CG4020	FBgn0029821	1-14	5C7-5C7	X:5905746..5908001(1)
Dmel	CG12236	FBgn0029822	1-14	5C7-5C7	X:5908135..5913079(1)
Dmel	Shmt	FBgn0029823	1-14	5C7-5C7	X:5913067..5916797(-1)
Dmel	CG3726	FBgn0029824	1-14	5C7-5C10	X:5917097..5941852(1)
Dmel	CG12728	FBgn0029825	1-14	5C10-5C10	X:5942606..5945250(1)
Dmel	CG6041	FBgn0029826	1-14	5C10-5C10	X:5948160..5950208(1)
Dmel	CG6048	FBgn0029827	1-14	5C10-5C10	X:5952565..5954046(1)
Dmel	CG6067	FBgn0029828	1-15	5D1-5D1	X:5955629..5958283(1)
Dmel	Grip	FBgn0029830	1-15	5D1-5D1	X:5966279..5986699(1)
Dmel	CG5966	FBgn0029831	1-15	5D1-5D1	X:5988791..5992640(1)
Dmel	MCTS1	FBgn0029833	1-15	5D2-5D2	X:6037892..6039576(1)
Dmel	CG5937	FBgn0029834	1-15	5D2-5D3	X:6040005..6050381(1)
Dmel	CG5921	FBgn0029835	1-15	5D3-5D3	X:6050828..6065646(1)
Dmel	CG5928	FBgn0029836	1-15	5D3-5D3	X:6067958..6069264(1)
Dmel	Tsp5D	FBgn0029837	1-15	5D3-5D3	X:6069131..6074857(-1)
Dmel	CG4666	FBgn0029838	1-15	5D3-5D3	X:6076072..6077786(-1)
Dmel	CG4660	FBgn0029839	1-15	5D4-5D4	X:6078708..6081372(-1)
Dmel	raptor	FBgn0029840	1-15	5D4-5D4	X:6082634..6090201(-1)
Dmel	Nep1	FBgn0029843	1-15	5D4-5D5	X:6091205..6103971(1)
Dmel	Btnd	FBgn0029848	1-16	5E1-5E1	X:6217268..6219327(-1)
Dmel	Efr	FBgn0029849	1-16	5E1-5E1	X:6219957..6222719(1)
Dmel	CG14445	FBgn0029851	1-16	5E1-5E1	X:6237315..6240558(1)
Dmel	Josd	FBgn0029853	1-16	5E3-5E3	X:6261169..6262119(1)
Dmel	CG3566	FBgn0029854	1-16	5E4-5E4	X:6274972..6276724(-1)
Dmel	CG11700	FBgn0029856	1-16	5E5-5E5	X:6282037..6283575(-1)
Dmel	wuho	FBgn0029857	1-16	5E5-5E5	X:6288100..6289562(1)
Dmel	mldr	FBgn0029858	1-16	5E5-5E6	X:6291303..6294177(1)
Dmel	CG15892	FBgn0029859	1-16	5E6-5E6	X:6293106..6294343(-1)
Dmel	CG15891	FBgn0029860	1-16	5E6-5E6	X:6294517..6295345(-1)
Dmel	CG3815	FBgn0029861	1-16	5E6-5E7	X:6295389..6298970(1)
Dmel	CG3823	FBgn0029863	1-16	5E7-5E8	X:6303975..6306745(1)
Dmel	CG15894	FBgn0029864	1-16	5F1-5F1	X:6309212..6329828(1)
Dmel	CG15893	FBgn0029865		5F1-5F2	
Dmel	CG3842	FBgn0029866	1-16	5F2-5F2	X:6337762..6343731(1)
Dmel	CG3847	FBgn0029867	1-16	5F2-5F2	X:6347103..6349236(1)
Dmel	ND-B16.6	FBgn0029868	1-16	5F2-5F2	X:6349016..6350401(-1)
Dmel	Marf	FBgn0029870	1-16	5F4-5F4	X:6365949..6370924(1)
Dmel	CG3918	FBgn0029873	1-17	6B1-6B1	X:6524464..6526342(1)
Dmel	CG3342	FBgn0029874	1-17	6B1-6B1	X:6526106..6527888(-1)
Dmel	CG17717	FBgn0029877	1-18	6C1-6C1	X:6589290..6590646(1)
Dmel	Pat1	FBgn0029878	1-18	6C1-6C1	X:6590776..6596954(1)
Dmel	APC7	FBgn0029879	1-18	6C1-6C1	X:6597088..6599699(1)
Dmel	CG14443	FBgn0029880	1-18	6C2-6C2	X:6633959..6636169(1)
Dmel	pigs	FBgn0029881	1-18	6C1-6C3	X:6600062..6653015(1)
Dmel	CG3226	FBgn0029882	1-18	6C3-6C3	X:6653113..6654248(-1)
Dmel	CG3224	FBgn0029885	1-18	6C3-6C4	X:6660552..6661462(-1)
Dmel	CG3198	FBgn0029887	1-18	6C4-6C4	X:6668539..6673973(-1)
Dmel	ND-ASHI	FBgn0029888	1-18	6C5-6C5	X:6677262..6679118(-1)
Dmel	Fum2	FBgn0029890	1-18	6C5-6C5	X:6681767..6683696(1)
Dmel	Pink1	FBgn0029891	1-18	6C6-6C6	X:6683798..6687302(1)
Dmel	CG3184	FBgn0029892	1-18	6C6-6C6	X:6687596..6688774(-1)
Dmel	CG14442	FBgn0029893	1-18	6C6-6C7	X:6689296..6695007(-1)
Dmel	CG14440	FBgn0029894	1-18	6C7-6C7	X:6695866..6698567(-1)
Dmel	CG14441	FBgn0029895	1-18	6C9-6C9	X:6699508..6719389(1)
Dmel	CG3168	FBgn0029896	1-18	6C9-6C10	X:6720004..6739986(-1)
Dmel	RpL17	FBgn0029897	1-18	6C10-6C10	X:6741537..6744238(-1)
Dmel	CG14439	FBgn0029898	1-18	6C11-6C12	X:6747544..6755752(1)
Dmel	pod1	FBgn0029903	1-18	6D2-6D3	X:6803684..6813830(1)
Dmel	Nf-YC	FBgn0029905	1-18	6D3-6D3	X:6818178..6820919(-1)
Dmel	xit	FBgn0029906	1-18	6D3-6D3	X:6821016..6822840(1)
Dmel	Atx-1	FBgn0029907	1-18	6D3-6D3	X:6823204..6824203(1)
Dmel	mAChR-C	FBgn0029909	1-18	6D4-6D4	X:6831397..6832684(-1)
Dmel	detr	FBgn0029911	1-18	6D4-6D5	X:6838174..6843921(-1)
Dmel	Tmf	FBgn0029912	1-18	6D5-6D6	X:6844341..6847847(1)
Dmel	Cht11	FBgn0029913	1-18	6D6-6D6	X:6847877..6849517(-1)
Dmel	CG4558	FBgn0029914	1-18	6D6-6D7	X:6849770..6851884(1)
Dmel	CG14434	FBgn0029915	1-18	6D7-6D7	X:6851909..6867194(-1)
Dmel	CG14432	FBgn0029919		-	
Dmel	CR4575	FBgn0029920	1-18	6E3-6E3	X:6950510..6951266(1)
Dmel	CG14431	FBgn0029922	1-18	6E4-6E4	X:6908277..6968829(1)
Dmel	CG4586	FBgn0029924	1-18	6E4-6E4	X:6969918..6972265(1)
Dmel	CG3040	FBgn0029925	1-18	6E4-6E4	X:6972324..6973393(-1)
Dmel	CG3032	FBgn0029928	1-18	6E4-6E4	X:7012239..7013881(-1)
Dmel	CG4593	FBgn0029929	1-18	6E4-6E4	X:7013887..7015009(1)
Dmel	CG12541	FBgn0029930	1-19	6E4-6E4	X:7021608..7066052(-1)
Dmel	CG14427	FBgn0029931	1-19	6F1-6F1	X:7040603..7041769(1)
